amc_name,scenario,current_aum_cr,year_1_aum_cr,year_2_aum_cr,year_3_aum_cr
Taurus,Base Case,977.5266,1094.8298,1226.2094,1373.3545
Taurus,Bear Case,977.5266,1036.1782,1098.3489,1164.2498
Taurus,Bull Case,977.5266,1153.4814,1361.1080,1606.1075
The Wealth Company,Base Case,1403.7215,1572.1681,1760.8282,1972.1276
The Wealth Company,Bear Case,1403.7215,1487.9448,1577.2215,1671.8548
The Wealth Company,Bull Case,1403.7215,1656.3914,1954.5418,2306.3593
Trust,Base Case,4252.9568,4763.3116,5334.9090,5975.0981
Trust,Bear Case,4252.9568,4508.1342,4778.6223,5065.3396
Trust,Bull Case,4252.9568,5018.4890,5921.8170,6987.7441
UTI,Base Case,388469.8142,435086.1919,487296.5349,545772.1191
UTI,Bear Case,388469.8142,411778.0031,436484.6832,462673.7642
UTI,Bull Case,388469.8142,458394.3808,540905.3693,638268.3358
Unifi,Base Case,1440.3272,1613.1665,1806.7464,2023.5560
Unifi,Bear Case,1440.3272,1526.7468,1618.3516,1715.4527
Unifi,Bull Case,1440.3272,1699.5861,2005.5116,2366.5037
Union,Base Case,26194.0556,29337.3423,32857.8233,36800.7621
Union,Bear Case,26194.0556,27765.6989,29431.6409,31197.5393
Union,Bull Case,26194.0556,30908.9856,36472.6030,43037.6716
WhiteOak Capital,Base Case,33023.5922,36986.4233,41424.7941,46395.7693
WhiteOak Capital,Bear Case,33023.5922,35005.0077,37105.3082,39331.6267
WhiteOak Capital,Bull Case,33023.5922,38967.8388,45982.0498,54258.8187
Zerodha,Base Case,13793.0081,15448.1691,17301.9494,19378.1833
Zerodha,Bear Case,13793.0081,14620.5886,15497.8239,16427.6933
Zerodha,Bull Case,13793.0081,16275.7496,19205.3845,22662.3537
quant,Base Case,88362.5387,98966.0433,110841.9685,124143.0048
quant,Bear Case,88362.5387,93664.2910,99284.1485,105241.1974
quant,Bull Case,88362.5387,104267.7957,123035.9989,145182.4787
